symbol,company_name,raw_sector,raw_industry,business_desc,suggested_group_id,confidence_score,review_reason
RELIANCE,Reliance Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
BAJFINANCE,Bajaj Finance Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
BAJAJFINSV,Bajaj Finserv Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
NTPC,NTPC Limited,Market Leaders,Unclassified,,,0.00,no_match
ETERNAL,ETERNAL LIMITED,Market Leaders,Unclassified,,,0.00,no_match
ADANIENT,Adani Enterprises Limited,Market Leaders,Unclassified,,,0.00,no_match
ADANIPOWER,Adani Power Limited,Market Leaders,Unclassified,,,0.00,no_match
NESTLEIND,Nestle India Limited,Market Leaders,Unclassified,,fmcg_staples,0.26,low_keyword_confidence
JIOFIN,Jio Financial Services Limited,Market Leaders,Unclassified,,,0.00,no_match
GRASIM,Grasim Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
DLF,DLF Limited,Market Leaders,Unclassified,,,0.00,no_match
TRENT,Trent Limited,Market Leaders,Unclassified,,,0.00,no_match
VBL,Varun Beverages Limited,Market Leaders,Unclassified,,packaged_foods_bev,0.32,low_keyword_confidence
PIDILITIND,Pidilite Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Market Leaders,Unclassified,,,0.00,no_match
BRITANNIA,Britannia Industries Limited,Market Leaders,Unclassified,,fmcg_staples,0.26,low_keyword_confidence
TATACAP,Tata Capital Limited,Market Leaders,Unclassified,,,0.00,no_match
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Market Leaders,Unclassified,,vehicle_finance_nbfcs,0.29,low_keyword_confidence
SHRIRAMFIN,Shriram Finance Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
SOLARINDS,Solar Industries India Limited,Market Leaders,Unclassified,,,0.00,no_match
GAIL,GAIL (India) Limited,Market Leaders,Unclassified,,,0.00,no_match
BOSCHLTD,Bosch Limited,Market Leaders,Unclassified,,,0.00,no_match
ABB,ABB India Limited,Market Leaders,Unclassified,,electrical_equipment,0.26,low_keyword_confidence
CUMMINSIND,Cummins India Limited,Market Leaders,Unclassified,,,0.00,no_match
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Market Leaders,Unclassified,,tea_coffee_plantations,0.31,low_keyword_confidence
LGEINDIA,LG Electronics India Limited,Market Leaders,Unclassified,,,0.00,no_match
ADANIENSOL,Adani Energy Solutions Limited,Market Leaders,Unclassified,,,0.00,no_match
DRREDDY,Dr. Reddy's Laboratories Limited,Market Leaders,Unclassified,,,0.00,no_match
IDBI,IDBI Bank Limited,Market Leaders,Unclassified,,,0.00,no_match
SWIGGY,Swiggy Limited,Market Leaders,Unclassified,,retail_electronics_omni,0.28,low_keyword_confidence
BSE,BSE Limited,Market Leaders,Unclassified,,,0.00,no_match
RECLTD,REC Limited,Market Leaders,Unclassified,,,0.00,no_match
GROWW,Billionbrains Garage Ventures Limited,Market Leaders,Unclassified,,,0.00,no_match
WAAREEENER,Waaree Energies Limited,Market Leaders,Unclassified,,,0.00,no_match
PERSISTENT,Persistent Systems Limited,Market Leaders,Unclassified,,ems_electronics_manufacturing,0.32,low_keyword_confidence
BHARTIHEXA,Bharti Hexacom Limited,Market Leaders,Unclassified,,,0.00,no_match
NAUKRI,Info Edge (India) Limited,Market Leaders,Unclassified,,retail_electronics_omni,0.28,low_keyword_confidence
SRF,SRF Limited,Market Leaders,Unclassified,,,0.00,no_match
MEESHO,Meesho Limited,Market Leaders,Unclassified,,,0.00,no_match
NTPCGREEN,NTPC Green Energy Limited,Market Leaders,Unclassified,,,0.00,no_match
NHPC,NHPC Limited,Market Leaders,Unclassified,,,0.00,no_match
ABCAPITAL,Aditya Birla Capital Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
OFSS,Oracle Financial Services Software Limited,Market Leaders,Unclassified,,midcap_it_services,0.28,low_keyword_confidence
LENSKART,Lenskart Solutions Limited,Market Leaders,Unclassified,,,0.00,no_match
GVT&D,GE Vernova T&D India Limited,Market Leaders,Unclassified,,,0.00,no_match
UNOMINDA,UNO Minda Limited,Market Leaders,Unclassified,,auto_anc_powertrain,0.32,low_keyword_confidence
NYKAA,FSN E Commerce Ventures Limited,Market Leaders,Unclassified,,,0.00,no_match
COROMANDEL,Coromandel International Limited,Market Leaders,Unclassified,,,0.00,no_match
PATANJALI,Patanjali Foods Limited,Market Leaders,Unclassified,,,0.00,no_match
HDBFS,HDB Financial Services Limited,Market Leaders,Unclassified,,,0.00,no_match
LTF,L&T Finance Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
BHARATFORG,Bharat Forge Limited,Market Leaders,Unclassified,,auto_anc_forgings_castings,0.34,low_keyword_confidence
FACT,Fertilizers and Chemicals Travancore Limited,Market Leaders,Unclassified,,,0.00,no_match
TIINDIA,Tube Investments of India Limited,Market Leaders,Unclassified,,,0.00,no_match
UPL,UPL Limited,Market Leaders,Unclassified,,,0.00,no_match
PIIND,PI Industries Limited,Market Leaders,Unclassified,,agrochemicals,0.32,low_keyword_confidence
MFSL,Max Financial Services Limited,Market Leaders,Unclassified,,,0.00,no_match
KALYANKJIL,Kalyan Jewellers India Limited,Market Leaders,Unclassified,,,0.00,no_match
TATACOMM,Tata Communications Limited,Market Leaders,Unclassified,,,0.00,no_match
AIIL,Authum Investment & Infrastructure Limited,Market Leaders,Unclassified,,,0.00,no_match
PREMIERENE,Premier Energies Limited,Market Leaders,Unclassified,,,0.00,no_match
HEXT,Hexaware Technologies Limited,Market Leaders,Unclassified,,,0.00,no_match
LTTS,L&T Technology Services Limited,Market Leaders,Unclassified,,midcap_it_services,0.29,low_keyword_confidence
HUDCO,Housing & Urban Development Corporation Limited,Market Leaders,Unclassified,,,0.00,no_match
ENDURANCE,Endurance Technologies Limited,Market Leaders,Unclassified,,auto_anc_powertrain,0.32,low_keyword_confidence
ASTRAL,Astral Limited,Market Leaders,Unclassified,,,0.00,no_match
THERMAX,Thermax Limited,Market Leaders,Unclassified,,,0.00,no_match
PWL,Physicswallah Limited,Market Leaders,Unclassified,,,0.00,no_match
TATAINVEST,Tata Investment Corporation Limited,Market Leaders,Unclassified,,,0.00,no_match
GODREJIND,Godrej Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
POONAWALLA,Poonawalla Fincorp Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
KPRMILL,K.P.R. Mill Limited,Market Leaders,Unclassified,,,0.00,no_match
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
3MINDIA,3M India Limited,Market Leaders,Unclassified,,,0.00,no_match
PIRAMALFIN,Piramal Finance Limited,Market Leaders,Unclassified,,,0.00,no_match
SJVN,SJVN Limited,Market Leaders,Unclassified,,,0.00,no_match
ACC,ACC Limited,Market Leaders,Unclassified,,,0.00,no_match
TATAELXSI,Tata Elxsi Limited,Market Leaders,Unclassified,,midcap_it_services,0.29,low_keyword_confidence
NLCINDIA,NLC India Limited,Market Leaders,Unclassified,,,0.00,no_match
AWL,AWL Agri Business Limited,Market Leaders,Unclassified,,,0.00,no_match
KPITTECH,KPIT Technologies Limited,Market Leaders,Unclassified,,midcap_it_services,0.29,low_keyword_confidence
EXIDEIND,Exide Industries Limited,Market Leaders,Unclassified,,auto_anc_powertrain,0.32,low_keyword_confidence
HONAUT,Honeywell Automation India Limited,Market Leaders,Unclassified,,industrial_automation_drives,0.32,low_keyword_confidence
METROBRAND,Metro Brands Limited,Market Leaders,Unclassified,,,0.00,no_match
AIAENG,AIA Engineering Limited,Market Leaders,Unclassified,,,0.00,no_match
COHANCE,Cohance Lifesciences Limited,Market Leaders,Unclassified,,,0.00,no_match
GLAND,Gland Pharma Limited,Market Leaders,Unclassified,,,0.00,no_match
NBCC,NBCC (India) Limited,Market Leaders,Unclassified,,,0.00,no_match
ITI,ITI Limited,Market Leaders,Unclassified,,,0.00,no_match
AEGISVOPAK,Aegis Vopak Terminals Limited,Market Leaders,Unclassified,,,0.00,no_match
TATATECH,Tata Technologies Limited,Market Leaders,Unclassified,,erd_engineering_tech,0.32,low_keyword_confidence
PINELABS,Pine Labs Limited,Market Leaders,Unclassified,,,0.00,no_match
IKS,Inventurus Knowledge Solutions Limited,Market Leaders,Unclassified,,,0.00,no_match
TVSHLTD,TVS Holdings Limited,Market Leaders,Unclassified,,,0.00,no_match
IRB,IRB Infrastructure Developers Limited,Market Leaders,Unclassified,,,0.00,no_match
AFFLE,Affle 3i Limited,Market Leaders,Unclassified,,,0.00,no_match
AEGISLOG,Aegis Logistics Limited,Market Leaders,Unclassified,,city_gas_distribution,0.31,low_keyword_confidence
NAVINFLUOR,Navin Fluorine International Limited,Market Leaders,Unclassified,,dyes_pigments_fluorochem,0.30,low_keyword_confidence
LALPATHLAB,Dr. Lal Path Labs Ltd.,Market Leaders,Unclassified,,,0.00,no_match
AMBER,Amber Enterprises India Limited,Market Leaders,Unclassified,,ems_electronics_manufacturing,0.31,low_keyword_confidence
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,Market Leaders,Unclassified,,ems_electronics_manufacturing,0.34,low_keyword_confidence
MRPL,Mangalore Refinery and Petrochemicals Limited,Market Leaders,Unclassified,,oil_marketing_refining,0.33,low_keyword_confidence
SHYAMMETL,Shyam Metalics And Energy Limited,Market Leaders,Unclassified,,,0.00,no_match
EIHOTEL,EIH Limited,Market Leaders,Unclassified,,,0.00,no_match
WOCKPHARMA,Wockhardt Limited,Market Leaders,Unclassified,,,0.00,no_match
PTCIL,Ptc Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
KIOCL,KIOCL Limited,Market Leaders,Unclassified,,,0.00,no_match
MANAPPURAM,Manappuram Finance Limited,Market Leaders,Unclassified,,gold_loan_nbfcs,0.34,low_keyword_confidence
HSCL,Himadri Speciality Chemical Limited,Market Leaders,Unclassified,,ev_components_charging,0.28,low_keyword_confidence
ASAHIINDIA,Asahi India Glass Limited,Market Leaders,Unclassified,,,0.00,no_match
ASTRAZEN,AstraZeneca Pharma India Limited,Market Leaders,Unclassified,,,0.00,no_match
HBLENGINE,HBL Engineering Limited,Market Leaders,Unclassified,,,0.00,no_match
SAGILITY,SAGILITY LIMITED,Market Leaders,Unclassified,,,0.00,no_match
JYOTICNC,Jyoti CNC Automation Limited,Market Leaders,Unclassified,,,0.00,no_match
IIFL,IIFL Finance Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
HATSUN,Hatsun Agro Product Limited,Market Leaders,Unclassified,,dairy_protein_foods,0.34,low_keyword_confidence
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Market Leaders,Unclassified,,,0.00,no_match
URBANCO,Urban Company Limited,Market Leaders,Unclassified,,,0.00,no_match
JSWHL,JSW Holdings Limited,Market Leaders,Unclassified,,,0.00,no_match
ONESOURCE,Onesource Specialty Pharma Limited,Market Leaders,Unclassified,,,0.00,no_match
ATHERENERG,Ather Energy Limited,Market Leaders,Unclassified,,,0.00,no_match
